gene_id	A	B	p-value	FDR	significance
22560	92.2231	14.7614	0.000291333	0.008096037	DOWN
64925	93.4964	15.4135	0.000298722	0.008276143	DOWN
67983	25.8025	3.86964	0.000309408	0.008546224	DOWN
75290	975.523	57.622	0.000310991	0.008563997	DOWN
105843	2.30034	0.0132422	0.000315003	0.008639049	DOWN
22785	5.16208	33.2483	0.000315612	0.008639049	UP
29642	0.0623748	4.801	0.00031781	0.008673168	UP
34274	573.833	3756.73	0.000328358	0.008934278	UP
122091	15.6547	129.721	0.000334818	0.009081001	UP
69500	12.0671	0.555999	0.000335743	0.009081001	DOWN
54858	148.341	21.8924	0.000346945	0.009356224	DOWN
43397	115.649	9.96344	0.000348552	0.009371833	DOWN
72379	19.4649	162.317	0.000350276	0.009390487	UP
120198	12.4496	86.5417	0.000356287	0.009471757	UP
58753	4.439	32.6032	0.000357033	0.009471757	UP
75361	3.1462	18.9771	0.000357458	0.009471757	UP
61504	0.370648	6.48804	0.000357464	0.009471757	UP
53902	6.29394	38.7471	0.000360589	0.009526866	UP
58669	18.175	2.25815	0.000362602	0.009535814	DOWN
106645	0.923014	6.88449	0.00036302	0.009535814	UP
108586	1.03941	12.8126	0.000365454	0.009571925	UP
123911	637.133	82.1076	0.000366495	0.009571925	DOWN
102500	15.4963	0.522555	0.000372571	0.009702813	DOWN
29346	0.896968	11.2977	0.000381971	0.009919275	UP
66788	0.744665	8.62701	0.000383901	0.009924557	UP
65107	14.7587	143.239	0.000384352	0.009924557	UP
65677	1.0489	12.0436	0.000389904	0.010039477	UP
69384	20.3289	156.895	0.000395932	0.010165972	UP
49193	289.854	38.6485	0.000400519	0.010254861	DOWN
5345	9.28125	1.06524	0.000402703	0.010281899	DOWN
111803	17.5831	1.72788	0.000410327	0.010447292	DOWN
75403	1.12549	10.5131	0.000414935	0.010535188	UP
64110	33.923	5.97604	0.000416816	0.01055355	DOWN
70365	12.6093	1.31001	0.000428235	0.010812637	DOWN
73523	436.294	49.2399	0.000440065	0.011047029	DOWN
66843	79.7489	14.1179	0.000440921	0.011047029	DOWN
123152	176.269	27.7762	0.000441154	0.011047029	DOWN
81022	1.67256	12.0915	0.000444675	0.011087352	UP
4240	3.86194	26.4325	0.000445197	0.011087352	UP
22510	5.90481	37.7987	0.000446757	0.011095886	UP
104197	3.0581	0.077847	0.000464948	0.011505699	DOWN
70373	4.13687	26.3236	0.000465782	0.011505699	UP
23346	6.08154	51.1138	0.000475402	0.011711593	UP
3873	31.9507	227.001	0.000480065	0.011794589	UP
69574	27.1068	4.41198	0.000494083	0.012106362	DOWN
61553	0.483074	5.03855	0.000495438	0.012107017	UP
65743	255.9	32.1345	0.000499106	0.012164041	DOWN
